Naam,Ploeg,Prijs (M),#Koersen,OML,KBK,SAM,STRADE,NK,BKC,MSR,RVB,E3,GW,DDV,RVV,SCHELD,PR,RVL,BP,AG,WP,LBL,Totaal_Verwacht,Punten_per_Miljoen
Christen Jan,UAE Team Emirates - XRG,5,4,0.0,0.0,0.0,37.7,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,8.3,7.3,16.2,0.0,93.4,18.68
Miquel Pau,Bahrain - Victorious,3,5,9.2,9.4,0.0,4.3,16.8,0.0,5.3,0.0,0.0,4.3,9.2,11.5,0.0,0.0,0.0,14.3,9.1,0.0,0.0,93.4,31.13
Ballerini Davide,XDS Astana Team,4,7,4.0,3.2,0.0,0.0,0.0,0.0,5.1,8.0,0.0,24.0,5.8,25.8,0.0,15.7,0.0,0.0,0.0,0.0,0.0,91.6,22.9
Kanter Max,XDS Astana Team,4,2,0.0,5.1,0.0,0.0,5.8,24.0,0.0,31.4,0.0,16.1,6.4,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,90.9,22.72
Bol Cees,Decathlon CMA CGM Team,4,1,10.0,19.5,0.0,0.0,0.0,0.0,0.0,11.0,11.0,6.8,12.6,8.0,0.0,8.8,3.2,0.0,0.0,0.0,0.0,90.9,22.72
Nys Thibau,Lidl - Trek,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,17.8,23.8,37.3,88.0,14.67
Huens Axel,Groupama - FDJ United,2,3,2.4,6.4,3.7,0.0,10.1,4.4,0.0,7.6,3.2,19.2,9.8,9.7,0.0,7.8,0.0,0.0,0.0,0.0,0.0,84.3,42.15
Theuns Edward,Lidl - Trek,3,2,4.3,2.4,0.0,0.0,0.0,32.4,0.0,6.1,3.1,2.8,3.3,10.9,9.8,9.1,0.0,0.0,0.0,0.0,0.0,84.2,28.07
Cort Magnus,Uno-X Mobility,4,2,0.0,0.0,0.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8,0.0,0.0,0.0,12.3,83.5,20.88
Teuns Dylan,Cofidis,4,8,7.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.2,13.3,0.0,9.0,1.0,15.9,7.0,7.2,8.7,83.0,20.75
Schmid Mauro,Team Jayco AlUla,4,5,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,7.4,0.0,0.0,4.0,9.4,15.3,23.7,15.4,83.0,20.75
Braet Vito,Lotto-Intermarché,3,3,2.7,8.7,5.8,0.0,0.0,11.7,0.0,8.6,2.3,0.0,15.7,5.7,0.0,0.0,0.0,8.4,13.4,0.0,0.0,83.0,27.67
García Cortina Iván,Movistar Team,4,5,4.5,12.0,0.0,0.0,0.0,0.0,6.0,4.2,3.7,6.7,4.4,21.8,0.0,10.7,2.7,0.0,5.1,0.0,0.0,81.8,20.45
Skjelmose Mattias,Lidl - Trek,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,14.7,12.1,78.8,11.26
Aular Orluis,Movistar Team,4,3,6.6,3.6,0.0,0.0,0.0,0.0,9.8,9.6,8.3,5.2,26.5,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.8,19.45
Bauhaus Phil,Bahrain - Victorious,4,2,0.0,3.6,0.0,0.0,0.0,0.0,0.0,34.3,0.0,8.0,0.0,0.0,20.4,10.8,0.0,0.0,0.0,0.0,0.0,77.1,19.27
Adrià Roger,Movistar Team,3,7,7.9,2.6,0.0,19.8,0.0,0.0,0.0,0.0,3.3,7.7,0.0,0.0,0.0,0.0,8.2,0.0,12.3,4.4,6.4,72.6,24.2
Liepiņš Emīls,Pinarello - Q36.5 Pro Cycling,3,1,0.0,0.0,0.0,0.0,5.4,12.3,0.0,0.0,8.5,2.4,4.6,11.0,17.2,11.0,0.0,0.0,0.0,0.0,0.0,72.4,24.13
Groves Kaden,Alpecin - Premier Tech,6,7,4.6,4.9,0.0,0.0,0.0,0.0,33.8,0.0,0.0,6.0,4.0,7.5,0.0,11.3,0.0,0.0,0.0,0.0,0.0,72.1,12.02
Hirschi Marc,Tudor Pro Cycling Team,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,0.0,23.1,8.1,12.4,71.5,14.3
Allegaert Piet,Cofidis,3,3,12.9,2.3,0.0,0.0,21.2,0.0,0.0,0.0,0.0,6.4,6.0,7.5,12.1,0.0,3.0,0.0,0.0,0.0,0.0,71.4,23.8
